title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00001,111.213,Month,83.41,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00002,90.051,Month,67.538,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00003,22.23,Month,16.672,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00004,105.198,Month,78.898,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00005,49.583,Month,37.187,Month,25%
Oracle Cloud Infrastructure Key Management,KMS,OCI service description for KMS,ITEM-ORCL-00006,64.514,Month,48.385,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00007,70.813,Month,53.11,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00008,72.834,Month,54.626,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00009,32.534,Month,24.401,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00010,35.14,Month,26.355,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00011,112.804,Month,84.603,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00012,72.602,Month,54.452,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00013,22.736,Month,17.052,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00014,28.725,Month,21.544,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00015,32.352,Month,24.264,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00016,50.891,Month,38.168,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00017,24.093,Month,18.07,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00018,42.238,Month,31.678,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00019,59.803,Month,44.852,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00020,85.734,Month,64.3,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00021,16.403,Month,12.302,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00022,55.492,Month,41.619,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00023,31.338,Month,23.504,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00024,55.689,Month,41.767,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00025,57.518,Month,43.139,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00026,111.436,Month,83.577,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00027,33.188,Month,24.891,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00028,72.45,Month,54.338,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00029,33.881,Month,25.411,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00030,106.675,Month,80.006,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00031,38.65,Month,28.987,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00032,78.363,Month,58.772,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00033,20.869,Month,15.652,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00034,72.792,Month,54.594,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00035,93.591,Month,70.193,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00036,28.129,Month,21.097,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00037,108.787,Month,81.59,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00038,27.438,Month,20.578,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00039,38.344,Month,28.758,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00040,117.39,Month,88.043,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00041,106.763,Month,80.072,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00042,87.234,Month,65.425,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00043,78.831,Month,59.123,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00044,78.896,Month,59.172,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00045,87.582,Month,65.686,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00046,41.89,Month,31.418,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00047,112.673,Month,84.505,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00048,54.013,Month,40.51,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00049,62.785,Month,47.089,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00050,1.45,Month,1.087,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00051,90.241,Month,67.681,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00052,94.516,Month,70.887,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00053,71.216,Month,53.412,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00054,28.212,Month,21.159,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00055,67.172,Month,50.379,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00056,10.126,Month,7.595,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00057,60.179,Month,45.134,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00058,4.302,Month,3.226,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00059,10.704,Month,8.028,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00060,1.131,Month,0.848,Month,25%
Oracle Cloud Infrastructure Key Management,KMS,OCI service description for KMS,ITEM-ORCL-00061,34.152,Month,25.614,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00062,104.001,Month,78.001,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00063,50.146,Month,37.609,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00064,108.26,Month,81.195,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00065,6.278,Month,4.708,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00066,86.574,Month,64.93,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00067,85.342,Month,64.007,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00068,24.966,Month,18.724,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00069,11.13,Month,8.348,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00070,21.1,Month,15.825,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00071,84.438,Month,63.329,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00072,23.497,Month,17.623,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00073,94.87,Month,71.153,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00074,72.722,Month,54.541,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00075,36.922,Month,27.691,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00076,48.997,Month,36.748,Month,25%
Oracle Cloud Infrastructure Identity and Access Management,IAM,OCI service description for IAM,ITEM-ORCL-00077,9.329,Month,6.997,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00078,105.661,Month,79.246,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00079,23.716,Month,17.787,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00080,100.808,Month,75.606,Month,25%
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,OCI service description for VCN,ITEM-ORCL-00081,70.671,Month,53.003,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00082,9.574,Month,7.181,Month,25%
Oracle Cloud Infrastructure Data Flow,Data Flow,OCI service description for Data Flow,ITEM-ORCL-00083,57.055,Month,42.791,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00084,109.419,Month,82.064,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00085,89.735,Month,67.301,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00086,21.227,Month,15.92,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00087,118.886,Month,89.165,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00088,41.126,Month,30.844,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00089,109.047,Month,81.785,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00090,59.419,Month,44.564,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00091,103.359,Month,77.519,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00092,81.9,Month,61.425,Month,25%
Oracle Cloud Infrastructure Big Data Service,Big Data Service,OCI service description for Big Data Service,ITEM-ORCL-00093,24.381,Month,18.286,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00094,48.935,Month,36.701,Month,25%
Oracle Cloud Infrastructure Load Balancing,Load Balancer,OCI service description for Load Balancer,ITEM-ORCL-00095,92.746,Month,69.559,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00096,94.752,Month,71.064,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00097,72.966,Month,54.724,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00098,109.106,Month,81.829,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00099,12.054,Month,9.04,Month,25%
Oracle Cloud Infrastructure Web Application Firewall,WAF,OCI service description for WAF,ITEM-ORCL-00100,17.621,Month,13.216,Month,25%
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,OCI service description for OKE,ITEM-ORCL-00101,44.096,Month,33.072,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00102,115.119,Month,86.339,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00103,77.892,Month,58.419,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00104,102.615,Month,76.961,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00105,69.031,Month,51.773,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00106,56.165,Month,42.124,Month,25%
Oracle Cloud Infrastructure Streaming,Streaming,OCI service description for Streaming,ITEM-ORCL-00107,5.911,Month,4.433,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00108,86.614,Month,64.96,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00109,56.84,Month,42.63,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00110,103.016,Month,77.262,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00111,87.619,Month,65.714,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00112,34.565,Month,25.924,Month,25%
Oracle Cloud Infrastructure Data Safe,Data Safe,OCI service description for Data Safe,ITEM-ORCL-00113,5.308,Month,3.981,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00114,78.622,Month,58.966,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00115,101.991,Month,76.493,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00116,65.529,Month,49.147,Month,25%
Oracle Cloud Infrastructure Compute,Compute,OCI service description for Compute,ITEM-ORCL-00117,66.286,Month,49.715,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00118,20.14,Month,15.105,Month,25%
Oracle Cloud Infrastructure Logging,Logging,OCI service description for Logging,ITEM-ORCL-00119,73.031,Month,54.773,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00120,16.918,Month,12.688,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00121,10.861,Month,8.146,Month,25%
Oracle Autonomous Database,Autonomous Database,OCI service description for Autonomous Database,ITEM-ORCL-00122,29.651,Month,22.238,Month,25%
Oracle Cloud Infrastructure FastConnect,FastConnect,OCI service description for FastConnect,ITEM-ORCL-00123,77.002,Month,57.751,Month,25%
Oracle Cloud Infrastructure Object Storage,Object Storage,OCI service description for Object Storage,ITEM-ORCL-00124,10.639,Month,7.979,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00125,79.277,Month,59.458,Month,25%
Oracle Cloud Infrastructure Block Volumes,Block Volume,OCI service description for Block Volume,ITEM-ORCL-00126,94.706,Month,71.029,Month,25%
Oracle Cloud Infrastructure API Gateway,API Gateway,OCI service description for API Gateway,ITEM-ORCL-00127,23.524,Month,17.643,Month,25%
Oracle Cloud Infrastructure Monitoring,Monitoring,OCI service description for Monitoring,ITEM-ORCL-00128,98.975,Month,74.231,Month,25%
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,OCI service description for Exadata,ITEM-ORCL-00129,3.347,Month,2.51,Month,25%
Oracle Cloud Infrastructure Functions,Functions,OCI service description for Functions,ITEM-ORCL-00130,88.583,Month,66.437,Month,25%
