title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
Amazon Elasticache,Amazon Elasticache,,ITEM-00001,13.329,Month,9.997,Month,25%
Amazon AppStream 2.0,Amazon AppStream 2.0,,ITEM-00002,28.002,Month,21.002,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00003,41.111,Month,30.833,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00004,29.934,Month,22.451,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00005,45.981,Month,34.486,Month,25%
AWS Batch,AWS Batch,,ITEM-00006,32.778,Month,24.584,Month,25%
AWS Glue,AWS Glue,,ITEM-00007,2.788,Month,2.091,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00008,41.216,Month,30.912,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00009,41.299,Month,30.974,Month,25%
AWS Batch,AWS Batch,,ITEM-00010,30.832,Month,23.124,Month,25%
AWS Lambda,AWS Lambda,,ITEM-00011,18.473,Month,13.855,Month,25%
AWS IAM,AWS IAM,,ITEM-00012,19.978,Month,14.984,Month,25%
Amazon Route 53,Amazon Route 53,,ITEM-00013,34.075,Month,25.556,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00014,15.428,Month,11.571,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00015,14.228,Month,10.671,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00016,19.843,Month,14.882,Month,25%
Amazon CloudFront,Amazon CloudFront,,ITEM-00017,14.162,Month,10.622,Month,25%
AWS Batch,AWS Batch,,ITEM-00018,5.137,Month,3.853,Month,25%
AWS WAF,AWS WAF,,ITEM-00019,46.658,Month,34.993,Month,25%
Amazon S3,Amazon S3,,ITEM-00020,23.252,Month,17.439,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00021,10.276,Month,7.707,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00022,34.957,Month,26.218,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00023,0.897,Month,0.673,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00024,13.019,Month,9.764,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00025,18.557,Month,13.918,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00026,45.153,Month,33.865,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00027,3.07,Month,2.302,Month,25%
AWS Glue,AWS Glue,,ITEM-00028,1.694,Month,1.27,Month,25%
AWS WAF,AWS WAF,,ITEM-00029,43.485,Month,32.614,Month,25%
AWS AppSync,AWS AppSync,,ITEM-00030,46.517,Month,34.888,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00031,2.429,Month,1.822,Month,25%
AWS AppSync,AWS AppSync,,ITEM-00032,16.726,Month,12.544,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00033,22.698,Month,17.023,Month,25%
Amazon Route 53,Amazon Route 53,,ITEM-00034,32.105,Month,24.079,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00035,40.84,Month,30.63,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00036,15.191,Month,11.393,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00037,39.698,Month,29.773,Month,25%
Amazon Elasticache,Amazon Elasticache,,ITEM-00038,38.67,Month,29.003,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00039,22.448,Month,16.836,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00040,25.659,Month,19.244,Month,25%
Amazon CloudFront,Amazon CloudFront,,ITEM-00041,26.363,Month,19.772,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00042,12.444,Month,9.333,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00043,44.225,Month,33.169,Month,25%
Amazon Lightsail,Amazon Lightsail,,ITEM-00044,0.618,Month,0.464,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00045,32.138,Month,24.103,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00046,3.257,Month,2.443,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00047,25.136,Month,18.852,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00048,6.196,Month,4.647,Month,25%
Amazon SNS,Amazon SNS,,ITEM-00049,31.433,Month,23.575,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00050,44.67,Month,33.502,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00051,17.032,Month,12.774,Month,25%
Amazon EC2,Amazon EC2,,ITEM-00052,18.988,Month,14.241,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00053,42.61,Month,31.957,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00054,14.443,Month,10.832,Month,25%
Amazon EC2,Amazon EC2,,ITEM-00055,3.724,Month,2.793,Month,25%
Amazon Athena,Amazon Athena,,ITEM-00056,25.088,Month,18.816,Month,25%
Amazon DocumentDB,Amazon DocumentDB,,ITEM-00057,33.846,Month,25.384,Month,25%
Amazon S3,Amazon S3,,ITEM-00058,21.462,Month,16.096,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00059,7.029,Month,5.272,Month,25%
Amazon Route 53,Amazon Route 53,,ITEM-00060,7.615,Month,5.711,Month,25%
Amazon Lightsail,Amazon Lightsail,,ITEM-00061,41.218,Month,30.914,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00062,7.916,Month,5.937,Month,25%
AWS Lake Formation,AWS Lake Formation,,ITEM-00063,18.881,Month,14.161,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00064,44.219,Month,33.164,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00065,5.059,Month,3.794,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00066,49.762,Month,37.322,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00067,38.438,Month,28.829,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00068,47.362,Month,35.522,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00069,34.302,Month,25.727,Month,25%
Amazon SageMaker,Amazon SageMaker,,ITEM-00070,21.717,Month,16.288,Month,25%
Amazon Lightsail,Amazon Lightsail,,ITEM-00071,18.222,Month,13.667,Month,25%
AWS WAF,AWS WAF,,ITEM-00072,36.863,Month,27.647,Month,25%
Amazon Elasticache,Amazon Elasticache,,ITEM-00073,37.807,Month,28.355,Month,25%
AWS Elastic Beanstalk,AWS Elastic Beanstalk,,ITEM-00074,26.202,Month,19.652,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00075,22.963,Month,17.222,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00076,12.025,Month,9.019,Month,25%
Amazon S3,Amazon S3,,ITEM-00077,36.642,Month,27.482,Month,25%
Amazon CloudWatch,Amazon CloudWatch,,ITEM-00078,46.343,Month,34.757,Month,25%
AWS Lake Formation,AWS Lake Formation,,ITEM-00079,4.892,Month,3.669,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00080,34.823,Month,26.117,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00081,5.946,Month,4.46,Month,25%
AWS KMS,AWS KMS,,ITEM-00082,48.453,Month,36.34,Month,25%
Amazon MQ,Amazon MQ,,ITEM-00083,37.944,Month,28.458,Month,25%
AWS AppSync,AWS AppSync,,ITEM-00084,0.159,Month,0.119,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00085,17.753,Month,13.315,Month,25%
Amazon CloudFront,Amazon CloudFront,,ITEM-00086,18.183,Month,13.637,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00087,33.804,Month,25.353,Month,25%
Amazon ECS,Amazon ECS,,ITEM-00088,9.106,Month,6.829,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00089,11.583,Month,8.687,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00090,2.062,Month,1.546,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00091,5.168,Month,3.876,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00092,31.8,Month,23.85,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00093,34.661,Month,25.996,Month,25%
Amazon Neptune,Amazon Neptune,,ITEM-00094,35.042,Month,26.282,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00095,26.745,Month,20.059,Month,25%
AWS WAF,AWS WAF,,ITEM-00096,6.483,Month,4.862,Month,25%
AWS Glue DataBrew,AWS Glue DataBrew,,ITEM-00097,29.627,Month,22.22,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00098,16.729,Month,12.547,Month,25%
AWS Amplify,AWS Amplify,,ITEM-00099,1.524,Month,1.143,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00100,1.532,Month,1.149,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00101,7.335,Month,5.501,Month,25%
Amazon API Gateway,Amazon API Gateway,,ITEM-00102,42.033,Month,31.525,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00103,9.673,Month,7.255,Month,25%
Amazon Aurora,Amazon Aurora,,ITEM-00104,41.082,Month,30.812,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00105,37.743,Month,28.307,Month,25%
Amazon API Gateway,Amazon API Gateway,,ITEM-00106,22.089,Month,16.567,Month,25%
AWS Lambda,AWS Lambda,,ITEM-00107,22.27,Month,16.703,Month,25%
Amazon DynamoDB,Amazon DynamoDB,,ITEM-00108,20.722,Month,15.542,Month,25%
Amazon Kinesis,Amazon Kinesis,,ITEM-00109,3.593,Month,2.695,Month,25%
AWS Direct Connect,AWS Direct Connect,,ITEM-00110,45.465,Month,34.099,Month,25%
AWS Batch,AWS Batch,,ITEM-00111,31.976,Month,23.982,Month,25%
Amazon SQS,Amazon SQS,,ITEM-00112,47.313,Month,35.485,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00113,20.404,Month,15.303,Month,25%
Amazon WorkSpaces,Amazon WorkSpaces,,ITEM-00114,40.934,Month,30.7,Month,25%
Amazon VPC,Amazon VPC,,ITEM-00115,0.739,Month,0.554,Month,25%
AWS Batch,AWS Batch,,ITEM-00116,13.263,Month,9.947,Month,25%
AWS IAM,AWS IAM,,ITEM-00117,41.524,Month,31.143,Month,25%
Amazon QuickSight,Amazon QuickSight,,ITEM-00118,43.097,Month,32.323,Month,25%
AWS Step Functions,AWS Step Functions,,ITEM-00119,37.236,Month,27.927,Month,25%
Amazon RDS,Amazon RDS,,ITEM-00120,43.068,Month,32.301,Month,25%
Amazon CloudFront,Amazon CloudFront,,ITEM-00121,19.123,Month,14.342,Month,25%
Amazon EKS,Amazon EKS,,ITEM-00122,11.651,Month,8.738,Month,25%
Amazon Redshift,Amazon Redshift,,ITEM-00123,23.406,Month,17.554,Month,25%
Amazon SNS,Amazon SNS,,ITEM-00124,49.783,Month,37.337,Month,25%
Amazon EC2,Amazon EC2,,ITEM-00125,36.214,Month,27.16,Month,25%
