csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
"Compute (VM/GPU)","Compute - GPU","C1001","aws","Compute","IL5",true
"Compute (VM/GPU)","Azure VM - D-Series","C1002","azure","Compute","IL5",false
"Compute (VM/GPU)","GCE - N2 Instance","C1003","gcp","Compute","IL4",false
"Compute (VM/GPU)","OCI Compute - E5","C1004","oracle","Compute","IL2",false
"Object/Block Storage","S3 Standard","S3-001","aws","Storage","IL5",false
"Object/Block Storage","Storage - Block - SSD","S2001","azure","Storage","IL6",false
"Object/Block Storage","Cloud Storage - Nearline","S3003","gcp","Storage","IL4",false
"Object/Block Storage","OCI Object Storage","S3004","oracle","Storage","IL2",false
"Managed SQL DB","RDS PostgreSQL","D3001","aws","Database","IL5",false
"Managed SQL DB","Azure SQL","D3002","azure","Database","IL5",true
"Managed SQL DB","Cloud SQL - MySQL","D3003","gcp","Database","IL4",false
"Managed SQL DB","Autonomous Database","D3004","oracle","Database","IL2",false
"Direct Connection","Direct Connect","N4001","aws","Networking","IL5",false
"Direct Connection","ExpressRoute","N4002","azure","Networking","IL5",false
"Direct Connection","Cloud Interconnect","N4003","gcp","Networking","IL4",false
"Direct Connection","OCI FastConnect","N4004","oracle","Networking","IL2",false
"GenAI Services","Bedrock - Claude 3","A5001","aws","AI and Machine Learning","IL5",true
"GenAI Services","OpenAI ChatGPT-4","A5002","azure","AI and Machine Learning","IL5",true
"GenAI Services","Vertex AI","A5003","gcp","AI and Machine Learning","IL4",false
"GenAI Services","OCI AI Vision","A5004","oracle","AI and Machine Learning","IL2",false
"App Hosting","Amazon ECS/EKS","C1201","aws","Compute","IL5",false
"App Hosting","Azure App Service","C2101","azure","Compute","IL5",false
"App Hosting","GKE Node - Autopilot","C3101","gcp","Compute","IL4",false
"App Hosting","Container Engine (OKE)","C4101","oracle","Compute","IL2",true
