"ExceptionuniqueID","csoshortname","impactlevel","ExceptionStatus","ExceptionPwsRequirement","ExceptionBasisForRequest","ExceptionSecurity"
"EX-1B634F75","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6434C194","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E7827B7","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2FDBA04D","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-291B4482","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-47BEC8FC","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-26A1EE45","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6D0065DB","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2B0E2C5E","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-24FD8756","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-09E2F3B8","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6F515B51","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1D2059F1","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1A810E7E","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2D989076","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3FD98A00","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-502BF370","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-55FA64CB","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-43387D8C","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3D74C6B9","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78BDBA37","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7E8869D0","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E2CA51E","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-203BF5A4","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-51C65B41","CDN Edge","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7C0F9691","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4A185249","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7D89AFF8","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3A9520EB","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-50AD3A90","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2DEC77C7","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-168B92E3","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-7614F5E5","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5485ABDF","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-53FF76CD","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-11725B79","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-42A4FD3A","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-11A2F702","ML Platform","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-477102DC","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-43C08FE2","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-505CB309","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-487C1EA4","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0FBA7B55","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-762A1A3E","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1B451AF6","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-28985AA9","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5AB5446E","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4D5C3166","File Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-65FD7D7C","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-19B5B4C7","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-22371F7D","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-397D7EAD","Image Analysis","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-05332E15","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4C351AF5","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5DBAB32F","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-64CD4DFA","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-208F9CDF","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23F0B3F2","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-68F178BB","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-25DE2BD3","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23EFBA02","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2BCD0224","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23C1DF52","Object Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4933EA44","Identity Access (IAM)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-61785B85","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-65ADE273","Speech Recognition","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-35C9840E","NoSQL Document","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-10DC0C7D","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2C2E944C","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-45593AB1","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5F641C95","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-2AD19DA5","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1D6551B4","Serverless Functions","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4F8711A6","Load Balancing","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-5ADFCD1B","Workflow Engine","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-352113FD","Kubernetes","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-63B859A5","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6B36CADE","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4868A96B","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-06F5A388","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-738B481A","Identity Access (IAM)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-09E7969D","Container Apps","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4CD944F1","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-78BA614F","Threat Detection","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6421E174","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-42E584D8","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-26090F18","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-6FF5ECE7","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-107FE733","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0B1D579D","SQL Database","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-23FED707","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1266D17C","Key Management (KMS)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3579B689","Virtual Machines","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E6780EE","API Gateway","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-77ABA2BD","Generative AI API","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-0B4F87F2","Bare Metal","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-07D551EC","In-Memory Cache","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1CF607B3","DNS Management","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-4E42793E","VPC Networking","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-3854804A","Archive Storage","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-1CEB7403","Web Firewall (WAF)","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
"EX-383BD2B6","Event Streaming","IL5","Approved","Section 5.3.1","Regulatory compliance","High"
