title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
App Engine,App Engine,,ITEM-00001,35.454,Month,26.59,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00002,6.277,Month,4.708,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00003,38.25,Month,28.688,Month,25%
VPC Network,VPC Network,,ITEM-00004,46.774,Month,35.081,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00005,8.567,Month,6.425,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00006,30.209,Month,22.657,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00007,21.187,Month,15.89,Month,25%
Vertex AI,Vertex AI,,ITEM-00008,48.107,Month,36.08,Month,25%
Compute Engine,Compute Engine,,ITEM-00009,3.179,Month,2.384,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00010,37.133,Month,27.85,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00011,9.552,Month,7.164,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00012,14.258,Month,10.694,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00013,33.287,Month,24.965,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00014,11.936,Month,8.952,Month,25%
App Engine,App Engine,,ITEM-00015,27.528,Month,20.646,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00016,27.264,Month,20.448,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00017,49.828,Month,37.371,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00018,15.315,Month,11.486,Month,25%
Error Reporting,Error Reporting,,ITEM-00019,14.009,Month,10.507,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00020,43.711,Month,32.783,Month,25%
Firestore,Firestore,,ITEM-00021,48.642,Month,36.482,Month,25%
Workflows,Workflows,,ITEM-00022,44.59,Month,33.443,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00023,13.172,Month,9.879,Month,25%
BigQuery,BigQuery,,ITEM-00024,33.55,Month,25.162,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00025,19.01,Month,14.258,Month,25%
Memorystore,Memorystore,,ITEM-00026,48.746,Month,36.559,Month,25%
Cloud Functions,Cloud Functions,,ITEM-00027,40.171,Month,30.128,Month,25%
BigQuery,BigQuery,,ITEM-00028,40.34,Month,30.255,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00029,18.534,Month,13.9,Month,25%
Workflows,Workflows,,ITEM-00030,13.193,Month,9.895,Month,25%
Secret Manager,Secret Manager,,ITEM-00031,30.402,Month,22.802,Month,25%
Dataproc,Dataproc,,ITEM-00032,3.554,Month,2.665,Month,25%
Dataproc,Dataproc,,ITEM-00033,20.682,Month,15.511,Month,25%
VPC Network,VPC Network,,ITEM-00034,47.527,Month,35.645,Month,25%
Cloud Build,Cloud Build,,ITEM-00035,37.808,Month,28.356,Month,25%
Compute Engine,Compute Engine,,ITEM-00036,32.215,Month,24.161,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00037,40.094,Month,30.071,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00038,38.159,Month,28.619,Month,25%
App Engine,App Engine,,ITEM-00039,27.949,Month,20.962,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00040,38.474,Month,28.855,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00041,35.371,Month,26.528,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00042,48.502,Month,36.377,Month,25%
Cloud Build,Cloud Build,,ITEM-00043,33.285,Month,24.964,Month,25%
Cloud Deployment Manager,Cloud Deployment Manager,,ITEM-00044,41.805,Month,31.354,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00045,32.274,Month,24.206,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00046,35.63,Month,26.723,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00047,24.215,Month,18.161,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00048,34.08,Month,25.56,Month,25%
Dataproc,Dataproc,,ITEM-00049,20.302,Month,15.226,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00050,30.58,Month,22.935,Month,25%
Cloud Tasks,Cloud Tasks,,ITEM-00051,42.465,Month,31.849,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00052,25.549,Month,19.162,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00053,40.773,Month,30.58,Month,25%
Apigee,Apigee,,ITEM-00054,7.489,Month,5.617,Month,25%
Workflows,Workflows,,ITEM-00055,40.881,Month,30.661,Month,25%
Compute Engine,Compute Engine,,ITEM-00056,1.861,Month,1.396,Month,25%
Cloud Build,Cloud Build,,ITEM-00057,20.37,Month,15.277,Month,25%
Dataflow,Dataflow,,ITEM-00058,49.621,Month,37.216,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00059,34.346,Month,25.759,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00060,18.998,Month,14.248,Month,25%
Cloud Storage,Cloud Storage,,ITEM-00061,19.268,Month,14.451,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00062,31.426,Month,23.569,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00063,37.573,Month,28.18,Month,25%
Cloud Tasks,Cloud Tasks,,ITEM-00064,46.828,Month,35.121,Month,25%
VPC Network,VPC Network,,ITEM-00065,43.846,Month,32.884,Month,25%
Cloud Storage,Cloud Storage,,ITEM-00066,11.51,Month,8.633,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00067,18.969,Month,14.227,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00068,9.841,Month,7.381,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00069,31.862,Month,23.896,Month,25%
Dataflow,Dataflow,,ITEM-00070,39.295,Month,29.471,Month,25%
Cloud Build,Cloud Build,,ITEM-00071,42.789,Month,32.092,Month,25%
Apigee,Apigee,,ITEM-00072,2.081,Month,1.561,Month,25%
Memorystore,Memorystore,,ITEM-00073,29.697,Month,22.273,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00074,8.061,Month,6.046,Month,25%
BigQuery,BigQuery,,ITEM-00075,27.843,Month,20.882,Month,25%
Error Reporting,Error Reporting,,ITEM-00076,42.714,Month,32.035,Month,25%
Firestore,Firestore,,ITEM-00077,6.109,Month,4.582,Month,25%
Secret Manager,Secret Manager,,ITEM-00078,9.09,Month,6.817,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00079,13.447,Month,10.085,Month,25%
Cloud SQL,Cloud SQL,,ITEM-00080,1.205,Month,0.904,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00081,21.08,Month,15.81,Month,25%
Cloud Interconnect,Cloud Interconnect,,ITEM-00082,47.828,Month,35.871,Month,25%
Dataflow,Dataflow,,ITEM-00083,26.557,Month,19.918,Month,25%
Google Kubernetes Engine (GKE),Google Kubernetes Engine (GKE),,ITEM-00084,44.179,Month,33.134,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00085,5.391,Month,4.043,Month,25%
Google Kubernetes Engine (GKE),Google Kubernetes Engine (GKE),,ITEM-00086,30.225,Month,22.669,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00087,46.663,Month,34.997,Month,25%
Cloud Functions,Cloud Functions,,ITEM-00088,35.276,Month,26.457,Month,25%
Compute Engine,Compute Engine,,ITEM-00089,26.478,Month,19.858,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00090,40.206,Month,30.155,Month,25%
Cloud Storage,Cloud Storage,,ITEM-00091,45.976,Month,34.482,Month,25%
Error Reporting,Error Reporting,,ITEM-00092,9.931,Month,7.448,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00093,48.05,Month,36.037,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00094,23.763,Month,17.822,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00095,43.078,Month,32.309,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00096,15.02,Month,11.265,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00097,20.9,Month,15.675,Month,25%
Workflows,Workflows,,ITEM-00098,14.819,Month,11.114,Month,25%
Artifact Registry,Artifact Registry,,ITEM-00099,5.444,Month,4.083,Month,25%
Firestore,Firestore,,ITEM-00100,11.711,Month,8.783,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00101,19.756,Month,14.817,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00102,36.862,Month,27.647,Month,25%
Memorystore,Memorystore,,ITEM-00103,45.081,Month,33.811,Month,25%
Cloud Run,Cloud Run,,ITEM-00104,22.71,Month,17.032,Month,25%
BigQuery,BigQuery,,ITEM-00105,40.512,Month,30.384,Month,25%
Cloud KMS,Cloud KMS,,ITEM-00106,24.93,Month,18.697,Month,25%
Apigee,Apigee,,ITEM-00107,8.746,Month,6.559,Month,25%
Cloud Source Repositories,Cloud Source Repositories,,ITEM-00108,45.667,Month,34.25,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00109,4.722,Month,3.542,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00110,49.703,Month,37.277,Month,25%
Error Reporting,Error Reporting,,ITEM-00111,33.074,Month,24.805,Month,25%
Cloud Load Balancing,Cloud Load Balancing,,ITEM-00112,13.301,Month,9.976,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00113,19.901,Month,14.926,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00114,7.234,Month,5.425,Month,25%
Cloud Trace,Cloud Trace,,ITEM-00115,47.785,Month,35.839,Month,25%
Firestore,Firestore,,ITEM-00116,22.638,Month,16.979,Month,25%
Dataproc,Dataproc,,ITEM-00117,13.603,Month,10.202,Month,25%
App Engine,App Engine,,ITEM-00118,34.35,Month,25.763,Month,25%
Cloud Scheduler,Cloud Scheduler,,ITEM-00119,34.511,Month,25.883,Month,25%
Google Kubernetes Engine (GKE),Google Kubernetes Engine (GKE),,ITEM-00120,27.017,Month,20.263,Month,25%
Apigee,Apigee,,ITEM-00121,16.46,Month,12.345,Month,25%
Cloud Spanner,Cloud Spanner,,ITEM-00122,25.684,Month,19.263,Month,25%
Cloud Functions,Cloud Functions,,ITEM-00123,43.842,Month,32.882,Month,25%
Error Reporting,Error Reporting,,ITEM-00124,7.138,Month,5.354,Month,25%
Cloud Scheduler,Cloud Scheduler,,ITEM-00125,2.486,Month,1.865,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00126,15.607,Month,11.705,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00127,11.966,Month,8.974,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00128,45.321,Month,33.991,Month,25%
Memorystore,Memorystore,,ITEM-00129,16.958,Month,12.718,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00130,19.107,Month,14.33,Month,25%
Cloud Logging,Cloud Logging,,ITEM-00131,34.453,Month,25.84,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00132,33.927,Month,25.445,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00133,48.646,Month,36.484,Month,25%
Firestore,Firestore,,ITEM-00134,10.164,Month,7.623,Month,25%
Vertex AI,Vertex AI,,ITEM-00135,16.616,Month,12.462,Month,25%
Cloud Pub/Sub,Cloud Pub/Sub,,ITEM-00136,22.726,Month,17.044,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00137,39.844,Month,29.883,Month,25%
Cloud Build,Cloud Build,,ITEM-00138,38.331,Month,28.748,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00139,46.31,Month,34.733,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00140,49.341,Month,37.006,Month,25%
Firestore,Firestore,,ITEM-00141,39.887,Month,29.915,Month,25%
Cloud Run,Cloud Run,,ITEM-00142,14.101,Month,10.576,Month,25%
Cloud Functions,Cloud Functions,,ITEM-00143,33.351,Month,25.013,Month,25%
Cloud IAM,Cloud IAM,,ITEM-00144,43.379,Month,32.534,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00145,43.395,Month,32.546,Month,25%
Google Kubernetes Engine (GKE),Google Kubernetes Engine (GKE),,ITEM-00146,13.463,Month,10.097,Month,25%
Cloud DNS,Cloud DNS,,ITEM-00147,42.266,Month,31.7,Month,25%
Cloud Profiler,Cloud Profiler,,ITEM-00148,26.566,Month,19.924,Month,25%
Cloud Monitoring,Cloud Monitoring,,ITEM-00149,20.151,Month,15.113,Month,25%
Cloud Armor,Cloud Armor,,ITEM-00150,8.002,Month,6.002,Month,25%
Cloud Tasks,Cloud Tasks,,ITEM-00151,20.617,Month,15.463,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00152,6.404,Month,4.803,Month,25%
App Engine,App Engine,,ITEM-00153,17.257,Month,12.943,Month,25%
Cloud Run,Cloud Run,,ITEM-00154,10.537,Month,7.903,Month,25%
Workflows,Workflows,,ITEM-00155,31.852,Month,23.889,Month,25%
Cloud CDN,Cloud CDN,,ITEM-00156,41.129,Month,30.847,Month,25%
Cloud Healthcare API,Cloud Healthcare API,,ITEM-00157,24.07,Month,18.053,Month,25%
Cloud Scheduler,Cloud Scheduler,,ITEM-00158,12.252,Month,9.189,Month,25%
Cloud Bigtable,Cloud Bigtable,,ITEM-00159,37.12,Month,27.84,Month,25%
Cloud Identity,Cloud Identity,,ITEM-00160,2.157,Month,1.618,Month,25%
Dataflow,Dataflow,,ITEM-00161,26.006,Month,19.505,Month,25%
Cloud Run,Cloud Run,,ITEM-00162,2.908,Month,2.181,Month,25%
Compute Engine,Compute Engine,,ITEM-00163,45.077,Month,33.808,Month,25%
Cloud Build,Cloud Build,,ITEM-00164,30.243,Month,22.682,Month,25%
