title,csoShortName,description,catalogitemNumber,commercialUnitPrice,commercialunitofissue,customerunitprice,customerunitofissue,discountpremiumfee
OCI Compute - E5,Compute - OCPU,AMD-based virtual machine shapes,C1004,0.025,OCPU/Hour,0.0225,OCPU/Hour,-10%
OCI Object Storage,Object Storage,Scalable storage for OCI,S3004,0.025,GB Per Month,0.02,GB Per Month,-20%
Autonomous Database,Database - SQL,Self-driving SQL database service,D3004,1.34,OCPU/Hour,1.072,OCPU/Hour,-20%
OCI FastConnect,Networking,Dedicated private networking,N4004,0.0,Port/Hour,0.0,Port/Hour,Free
OCI AI Vision,AI/ML,Image recognition and processing,A5004,0.5,1k units,0.4,1k units,-20%
Block Volume - Ultra High,Storage - Block,Extreme performance block storage,S4101,0.25,GB/Month,0.2,GB/Month,-20%
Container Engine (OKE),Compute - Container,Managed Kubernetes on OCI,C4101,0.0,Cluster/Hour,0.0,Cluster/Hour,Free
OCI Compute Instance - VM.Standard.E3.Flex - OCPU Offering,Compute Instance - VM.Standard.E3.Flex - OCPU,Official Oracle Cloud Compute offering for OCPU.,OCI-5000,0.025,OCPU-Hour / GB-Hour,0.02575,OCPU-Hour / GB-Hour,3%
OCI Compute Instance - VM.Standard.E3.Flex - Memory (GB) Offering,Compute Instance - VM.Standard.E3.Flex - Memory (GB),Official Oracle Cloud Compute offering for Memory (GB).,OCI-5001,0.025,OCPU-Hour / GB-Hour,0.02325,OCPU-Hour / GB-Hour,-7%
OCI Compute Instance - VM.Standard.E4.Flex - OCPU Offering,Compute Instance - VM.Standard.E4.Flex - OCPU,Official Oracle Cloud Compute offering for OCPU.,OCI-5002,0.025,OCPU-Hour / GB-Hour,0.027,OCPU-Hour / GB-Hour,8%
OCI Compute Instance - VM.Standard.E4.Flex - Memory (GB) Offering,Compute Instance - VM.Standard.E4.Flex - Memory (GB),Official Oracle Cloud Compute offering for Memory (GB).,OCI-5003,0.025,OCPU-Hour / GB-Hour,0.0245,OCPU-Hour / GB-Hour,-2%
OCI Compute Instance - VM.Optimized3.Flex - OCPU Offering,Compute Instance - VM.Optimized3.Flex - OCPU,Official Oracle Cloud Compute offering for OCPU.,OCI-5004,0.03,OCPU-Hour / GB-Hour,0.0306,OCPU-Hour / GB-Hour,2%
OCI Compute Instance - VM.Optimized3.Flex - Memory (GB) Offering,Compute Instance - VM.Optimized3.Flex - Memory (GB),Official Oracle Cloud Compute offering for Memory (GB).,OCI-5005,0.03,OCPU-Hour / GB-Hour,0.0255,OCPU-Hour / GB-Hour,-15%
OCI Compute Instance - VM.Standard3.Flex - OCPU Offering,Compute Instance - VM.Standard3.Flex - OCPU,Official Oracle Cloud Compute offering for OCPU.,OCI-5006,0.03,OCPU-Hour / GB-Hour,0.0285,OCPU-Hour / GB-Hour,-5%
OCI Compute Instance - VM.Standard3.Flex - Memory (GB) Offering,Compute Instance - VM.Standard3.Flex - Memory (GB),Official Oracle Cloud Compute offering for Memory (GB).,OCI-5007,0.03,OCPU-Hour / GB-Hour,0.0264,OCPU-Hour / GB-Hour,-12%
OCI Compute Instance - VM.GPU.A10.1 - 1 GPU Offering,Compute Instance - VM.GPU.A10.1 - 1 GPU,Official Oracle Cloud Compute offering for 1 GPU.,OCI-5008,2.0,GPU-Hour,1.7,GPU-Hour,-15%
OCI Compute Instance - BM.Standard.E5.128 - Bare Metal Offering,Compute Instance - BM.Standard.E5.128 - Bare Metal,Official Oracle Cloud Compute offering for Bare Metal.,OCI-5009,0.025,OCPU-Hour,0.02225,OCPU-Hour,-11%
OCI Block Volume - Performance Units (VPU) - Balanced Offering,Block Volume - Performance Units (VPU) - Balanced,Official Oracle Cloud Storage offering for Performance Units (VPU) - Balanced.,OCI-5010,0.0255,GB-Month / VPU-Month,0.02397,GB-Month / VPU-Month,-6%
OCI Block Volume - Performance Units (VPU) - Higher Perf Offering,Block Volume - Performance Units (VPU) - Higher Perf,Official Oracle Cloud Storage offering for Performance Units (VPU) - Higher Perf.,OCI-5011,0.0255,GB-Month / VPU-Month,0.0204,GB-Month / VPU-Month,-20%
OCI Block Volume - Performance Units (VPU) - Ultra High Offering,Block Volume - Performance Units (VPU) - Ultra High,Official Oracle Cloud Storage offering for Performance Units (VPU) - Ultra High.,OCI-5012,0.0255,GB-Month / VPU-Month,0.02269,GB-Month / VPU-Month,-11%
OCI Block Volume - Storage Capacity Offering,Block Volume - Storage Capacity,Official Oracle Cloud Storage offering for Storage Capacity.,OCI-5013,0.0255,GB-Month / VPU-Month,0.02244,GB-Month / VPU-Month,-12%
OCI Object Storage - Standard Storage Offering,Object Storage - Standard Storage,Official Oracle Cloud Storage offering for Standard Storage.,OCI-5014,0.0255,GB-Month / 10k Requests,0.0232,GB-Month / 10k Requests,-9%
OCI Object Storage - Archive Storage Offering,Object Storage - Archive Storage,Official Oracle Cloud Storage offering for Archive Storage.,OCI-5015,0.0255,GB-Month / 10k Requests,0.02269,GB-Month / 10k Requests,-11%
OCI Object Storage - Requests (A/B) Offering,Object Storage - Requests (A/B),Official Oracle Cloud Storage offering for Requests (A/B).,OCI-5016,0.0255,GB-Month / 10k Requests,0.02729,GB-Month / 10k Requests,7%
OCI Object Storage - Data Retrieval Offering,Object Storage - Data Retrieval,Official Oracle Cloud Storage offering for Data Retrieval.,OCI-5017,0.0255,GB-Month / 10k Requests,0.02269,GB-Month / 10k Requests,-11%
OCI File Storage - Capacity Offering,File Storage - Capacity,Official Oracle Cloud Storage offering for Capacity.,OCI-5018,0.3,GB-Month,0.315,GB-Month,5%
OCI File Storage - Requests Offering,File Storage - Requests,Official Oracle Cloud Storage offering for Requests.,OCI-5019,0.3,GB-Month,0.285,GB-Month,-5%
OCI Autonomous Database (ATP/ADW) - OCPU Offering,Autonomous Database (ATP/ADW) - OCPU,Official Oracle Cloud Database offering for OCPU.,OCI-5020,107.48399,OCPU-Hour / TB-Month,102.10979,OCPU-Hour / TB-Month,-5%
OCI Autonomous Database (ATP/ADW) - Storage Offering,Autonomous Database (ATP/ADW) - Storage,Official Oracle Cloud Database offering for Storage.,OCI-5021,11.22357,OCPU-Hour / TB-Month,11.89698,OCPU-Hour / TB-Month,6%
OCI Base Database Service - Standard Edition Offering,Base Database Service - Standard Edition,Official Oracle Cloud Database offering for Standard Edition.,OCI-5022,2.35242,OCPU-Hour,2.04661,OCPU-Hour,-13%
OCI Base Database Service - Enterprise Edition Offering,Base Database Service - Enterprise Edition,Official Oracle Cloud Database offering for Enterprise Edition.,OCI-5023,0.90642,OCPU-Hour,0.78859,OCPU-Hour,-13%
OCI Base Database Service - Enterprise Edition High Performance Offering,Base Database Service - Enterprise Edition High Performance,Official Oracle Cloud Database offering for Enterprise Edition High Performance.,OCI-5024,0.62527,OCPU-Hour,0.58775,OCPU-Hour,-6%
OCI Base Database Service - Enterprise Edition Extreme Performance Offering,Base Database Service - Enterprise Edition Extreme Performance,Official Oracle Cloud Database offering for Enterprise Edition Extreme Performance.,OCI-5025,1.24551,OCPU-Hour,1.09605,OCPU-Hour,-12%
OCI Exadata Cloud Service - X9 Infrastructure Offering,Exadata Cloud Service - X9 Infrastructure,Official Oracle Cloud Database offering for X9 Infrastructure.,OCI-5026,9372.47259,OCPU-Hour / Infrastructure-Month,9841.09622,OCPU-Hour / Infrastructure-Month,5%
OCI Exadata Cloud Service - X9 OCPU Offering,Exadata Cloud Service - X9 OCPU,Official Oracle Cloud Database offering for X9 OCPU.,OCI-5027,12282.71432,OCPU-Hour / Infrastructure-Month,13019.67718,OCPU-Hour / Infrastructure-Month,6%
OCI Flexible Load Balancer - Bandwidth (10Mbps) Offering,Flexible Load Balancer - Bandwidth (10Mbps),Official Oracle Cloud Networking offering for Bandwidth (10Mbps).,OCI-5028,0.01467,Load Balancer-Hour,0.0132,Load Balancer-Hour,-10%
OCI Flexible Load Balancer - Bandwidth (100Mbps) Offering,Flexible Load Balancer - Bandwidth (100Mbps),Official Oracle Cloud Networking offering for Bandwidth (100Mbps).,OCI-5029,0.04277,Load Balancer-Hour,0.04363,Load Balancer-Hour,2%
OCI Flexible Load Balancer - Bandwidth (1000Mbps) Offering,Flexible Load Balancer - Bandwidth (1000Mbps),Official Oracle Cloud Networking offering for Bandwidth (1000Mbps).,OCI-5030,0.02507,Load Balancer-Hour,0.02432,Load Balancer-Hour,-3%
OCI FastConnect - 1 Gbps Offering,FastConnect - 1 Gbps,Official Oracle Cloud Networking offering for 1 Gbps.,OCI-5031,0.0,Port-Hour,0.0,Port-Hour,-18%
OCI FastConnect - 10 Gbps Offering,FastConnect - 10 Gbps,Official Oracle Cloud Networking offering for 10 Gbps.,OCI-5032,0.0,Port-Hour,0.0,Port-Hour,5%
OCI VCN Data Transfer - Inbound Offering,VCN Data Transfer - Inbound,Official Oracle Cloud Networking offering for Inbound.,OCI-5033,0.00155,GB,0.00166,GB,7%
OCI VCN Data Transfer - Outbound to Internet (First 10TB free) Offering,VCN Data Transfer - Outbound to Internet (First 10TB free),Official Oracle Cloud Networking offering for Outbound to Internet (First 10TB free).,OCI-5034,0.00728,GB,0.00612,GB,-16%
OCI VCN Data Transfer - Outbound to Internet (Next 40TB) Offering,VCN Data Transfer - Outbound to Internet (Next 40TB),Official Oracle Cloud Networking offering for Outbound to Internet (Next 40TB).,OCI-5035,0.00249,GB,0.00247,GB,-1%
OCI AI Services - Vision - Image Analysis Offering,AI Services - Vision - Image Analysis,Official Oracle Cloud AI/ML offering for Vision - Image Analysis.,OCI-5036,0.2841,1k units,0.28694,1k units,1%
OCI AI Services - Vision - Document AI Offering,AI Services - Vision - Document AI,Official Oracle Cloud AI/ML offering for Vision - Document AI.,OCI-5037,0.90698,1k units,0.97047,1k units,7%
OCI AI Services - Language - Sentiment Analysis Offering,AI Services - Language - Sentiment Analysis,Official Oracle Cloud AI/ML offering for Language - Sentiment Analysis.,OCI-5038,0.56071,1k units,0.58314,1k units,4%
OCI AI Services - Speech - Transcription Offering,AI Services - Speech - Transcription,Official Oracle Cloud AI/ML offering for Speech - Transcription.,OCI-5039,0.28766,1k units,0.26465,1k units,-8%
OCI AI Services - Anomaly Detection Offering,AI Services - Anomaly Detection,Official Oracle Cloud AI/ML offering for Anomaly Detection.,OCI-5040,0.90668,1k units,0.86135,1k units,-5%
OCI Generative AI - Llama-2-70b Inference Offering,Generative AI - Llama-2-70b Inference,Official Oracle Cloud AI/ML offering for Llama-2-70b Inference.,OCI-5041,10.95689,1m tokens / Cluster-Hour,10.62818,1m tokens / Cluster-Hour,-3%
OCI Generative AI - Cohere Command Inference Offering,Generative AI - Cohere Command Inference,Official Oracle Cloud AI/ML offering for Cohere Command Inference.,OCI-5042,24.91552,1m tokens / Cluster-Hour,22.92228,1m tokens / Cluster-Hour,-8%
OCI Generative AI - Dedicated AI Cluster Offering,Generative AI - Dedicated AI Cluster,Official Oracle Cloud AI/ML offering for Dedicated AI Cluster.,OCI-5043,30.37963,1m tokens / Cluster-Hour,27.64546,1m tokens / Cluster-Hour,-9%
OCI Analytics Cloud - Professional Edition Offering,Analytics Cloud - Professional Edition,Official Oracle Cloud Analytics offering for Professional Edition.,OCI-5044,1.00333,OCPU-Hour,0.9331,OCPU-Hour,-7%
OCI Analytics Cloud - Enterprise Edition Offering,Analytics Cloud - Enterprise Edition,Official Oracle Cloud Analytics offering for Enterprise Edition.,OCI-5045,1.73539,OCPU-Hour,1.75274,OCPU-Hour,1%
OCI Cloud Guard - Global Configuration Offering,Cloud Guard - Global Configuration,Official Oracle Cloud Security offering for Global Configuration.,OCI-5046,0.0,Free,0.0,Free,-12%
OCI WAF - Edge Policy Offering,WAF - Edge Policy,Official Oracle Cloud Security offering for Edge Policy.,OCI-5047,5.0,Policy-Month / 1m Requests,4.95,Policy-Month / 1m Requests,-1%
OCI WAF - Request fee Offering,WAF - Request fee,Official Oracle Cloud Security offering for Request fee.,OCI-5048,5.0,Policy-Month / 1m Requests,5.05,Policy-Month / 1m Requests,1%
OCI Vault - Key Version Offering,Vault - Key Version,Official Oracle Cloud Security offering for Key Version.,OCI-5049,0.5,Key/Secret-Month,0.53,Key/Secret-Month,6%
OCI Vault - Secret Version Offering,Vault - Secret Version,Official Oracle Cloud Security offering for Secret Version.,OCI-5050,0.5,Key/Secret-Month,0.55,Key/Secret-Month,10%
OCI OKE (Kubernetes) - Cluster Management Fee Offering,OKE (Kubernetes) - Cluster Management Fee,Official Oracle Cloud Developer Services offering for Cluster Management Fee.,OCI-5051,0.1,Cluster-Hour / OCPU-Hour,0.104,Cluster-Hour / OCPU-Hour,4%
OCI OKE (Kubernetes) - Worker Node OCPU Offering,OKE (Kubernetes) - Worker Node OCPU,Official Oracle Cloud Developer Services offering for Worker Node OCPU.,OCI-5052,0.1,Cluster-Hour / OCPU-Hour,0.103,Cluster-Hour / OCPU-Hour,3%
OCI Functions - Invocations Offering,Functions - Invocations,Official Oracle Cloud Developer Services offering for Invocations.,OCI-5053,0.2,1m Invocations / 1k GB-Sec,0.174,1m Invocations / 1k GB-Sec,-13%
OCI Functions - Execution Duration (GB-Sec) Offering,Functions - Execution Duration (GB-Sec),Official Oracle Cloud Developer Services offering for Execution Duration (GB-Sec).,OCI-5054,0.2,1m Invocations / 1k GB-Sec,0.196,1m Invocations / 1k GB-Sec,-2%
OCI Compute Instance - VM.Standard.E3.Flex - OCPU Offering,Compute Instance - VM.Standard.E3.Flex - OCPU,Official Oracle Cloud Compute offering for OCPU.,OCI-5055,0.025,OCPU-Hour / GB-Hour,0.02275,OCPU-Hour / GB-Hour,-9%
