csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Compute (VM/GPU/Serverless),Compute Engine - n2-standard-2,GCP-1000,gcp,Compute,IL4,False
Compute (VM/GPU/Serverless),Compute Engine - n2-standard-4,GCP-1001,gcp,Compute,IL4|IL5,False
Compute (VM/GPU/Serverless),Compute Engine - e2-micro,GCP-1002,gcp,Compute,IL4,False
Compute (VM/GPU/Serverless),Compute Engine - e2-small,GCP-1003,gcp,Compute,IL5,True
Compute (VM/GPU/Serverless),Compute Engine - c2-standard-4,GCP-1004,gcp,Compute,IL6,True
Compute (VM/GPU/Serverless),Compute Engine - a2-highgpu-1g,GCP-1005,gcp,Compute,IL4,True
Object/Block/File Storage,Cloud Storage - Standard,GCP-1006,gcp,Storage,IL2|IL4|IL5|IL6,True
Object/Block/File Storage,Cloud Storage - Nearline,GCP-1007,gcp,Storage,IL6,False
Object/Block/File Storage,Cloud Storage - Coldline,GCP-1008,gcp,Storage,IL5,False
Object/Block/File Storage,Cloud Storage - Archive,GCP-1009,gcp,Storage,IL2|IL4,False
Managed SQL/NoSQL DB,Cloud SQL - db-f1-micro,GCP-1010,gcp,Database,IL2|IL4,True
Managed SQL/NoSQL DB,Cloud SQL - db-g1-small,GCP-1011,gcp,Database,IL2,True
Managed SQL/NoSQL DB,Cloud SQL - db-n1-standard-1,GCP-1012,gcp,Database,IL4|IL5,True
Managed SQL/NoSQL DB,Cloud SQL - High Availability,GCP-1013,gcp,Database,IL2|IL4,True
Managed SQL/NoSQL DB,Spanner - Node,GCP-1014,gcp,Database,IL5|IL6,False
Managed SQL/NoSQL DB,Spanner - Processing Unit,GCP-1015,gcp,Database,IL2|IL4|IL5|IL6,False
Managed SQL/NoSQL DB,Spanner - Storage,GCP-1016,gcp,Database,IL2|IL4|IL5|IL6,True
Connectivity/CDN,Cloud Interconnect - 10Gbps Dedicated,GCP-1017,gcp,Networking,IL4|IL5,True
Connectivity/CDN,Cloud Interconnect - 100Gbps Dedicated,GCP-1018,gcp,Networking,IL5|IL6,False
Connectivity/CDN,Cloud Interconnect - VLAN Attachment,GCP-1019,gcp,Networking,IL2|IL4|IL5|IL6,True
