csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Compute (VM/GPU),OCI Compute - E5,C1004,oracle,Compute,IL2|IL4|IL5,False
Object/Block Storage,OCI Object Storage,S3004,oracle,Storage,IL2,False
Managed SQL DB,Autonomous Database,D3004,oracle,Database,IL2,False
Direct Connection,OCI FastConnect,N4004,oracle,Networking,IL2,False
GenAI Services,OCI AI Vision,A5004,oracle,AI and Machine Learning,IL2,False
App Hosting,Container Engine (OKE),C4101,oracle,Compute,IL2,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - OCPU,OCI-5000,oracle,Compute,IL2|IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - Memory (GB),OCI-5001,oracle,Compute,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - OCPU,OCI-5002,oracle,Compute,IL2,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E4.Flex - Memory (GB),OCI-5003,oracle,Compute,IL4|IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - OCPU,OCI-5004,oracle,Compute,IL4|IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Optimized3.Flex - Memory (GB),OCI-5005,oracle,Compute,IL2|IL4,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - OCPU,OCI-5006,oracle,Compute,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard3.Flex - Memory (GB),OCI-5007,oracle,Compute,IL4,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.GPU.A10.1 - 1 GPU,OCI-5008,oracle,Compute,IL5,False
Compute (VM/GPU/Bare Metal),Compute Instance - BM.Standard.E5.128 - Bare Metal,OCI-5009,oracle,Compute,IL4|IL5,True
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Balanced,OCI-5010,oracle,Storage,IL4|IL5,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Higher Perf,OCI-5011,oracle,Storage,IL2,False
Object/Block/File Storage,Block Volume - Performance Units (VPU) - Ultra High,OCI-5012,oracle,Storage,IL2,False
Object/Block/File Storage,Block Volume - Storage Capacity,OCI-5013,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Object Storage - Standard Storage,OCI-5014,oracle,Storage,IL4|IL5,False
Object/Block/File Storage,Object Storage - Archive Storage,OCI-5015,oracle,Storage,IL2|IL4,True
Object/Block/File Storage,Object Storage - Requests (A/B),OCI-5016,oracle,Storage,IL2,True
Object/Block/File Storage,Object Storage - Data Retrieval,OCI-5017,oracle,Storage,IL4|IL5,False
Object/Block/File Storage,File Storage - Capacity,OCI-5018,oracle,Storage,IL5,True
Object/Block/File Storage,File Storage - Requests,OCI-5019,oracle,Storage,IL2|IL4,False
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - OCPU,OCI-5020,oracle,Database,IL4,False
Managed SQL/NoSQL DB,Autonomous Database (ATP/ADW) - Storage,OCI-5021,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Base Database Service - Standard Edition,OCI-5022,oracle,Database,IL5,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition,OCI-5023,oracle,Database,IL4,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition High Performance,OCI-5024,oracle,Database,IL2|IL4,False
Managed SQL/NoSQL DB,Base Database Service - Enterprise Edition Extreme Performance,OCI-5025,oracle,Database,IL4,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 Infrastructure,OCI-5026,oracle,Database,IL4|IL5,True
Managed SQL/NoSQL DB,Exadata Cloud Service - X9 OCPU,OCI-5027,oracle,Database,IL2,True
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (10Mbps),OCI-5028,oracle,Networking,IL4|IL5,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (100Mbps),OCI-5029,oracle,Networking,IL2|IL4,False
Connectivity/CDN/LB,Flexible Load Balancer - Bandwidth (1000Mbps),OCI-5030,oracle,Networking,IL2,False
Connectivity/CDN/LB,FastConnect - 1 Gbps,OCI-5031,oracle,Networking,IL4,True
Connectivity/CDN/LB,FastConnect - 10 Gbps,OCI-5032,oracle,Networking,IL2,True
Connectivity/CDN/LB,VCN Data Transfer - Inbound,OCI-5033,oracle,Networking,IL4|IL5,True
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (First 10TB free),OCI-5034,oracle,Networking,IL5,False
Connectivity/CDN/LB,VCN Data Transfer - Outbound to Internet (Next 40TB),OCI-5035,oracle,Networking,IL4|IL5,True
GenAI/AI Services,AI Services - Vision - Image Analysis,OCI-5036,oracle,AI/ML,IL2,True
GenAI/AI Services,AI Services - Vision - Document AI,OCI-5037,oracle,AI/ML,IL2,True
GenAI/AI Services,AI Services - Language - Sentiment Analysis,OCI-5038,oracle,AI/ML,IL4|IL5,False
GenAI/AI Services,AI Services - Speech - Transcription,OCI-5039,oracle,AI/ML,IL2,False
GenAI/AI Services,AI Services - Anomaly Detection,OCI-5040,oracle,AI/ML,IL2|IL4,True
GenAI/AI Services,Generative AI - Llama-2-70b Inference,OCI-5041,oracle,AI/ML,IL4,False
GenAI/AI Services,Generative AI - Cohere Command Inference,OCI-5042,oracle,AI/ML,IL4,False
GenAI/AI Services,Generative AI - Dedicated AI Cluster,OCI-5043,oracle,AI/ML,IL2,True
Analytics/Data Warehouse,Analytics Cloud - Professional Edition,OCI-5044,oracle,Analytics,IL4|IL5,False
Analytics/Data Warehouse,Analytics Cloud - Enterprise Edition,OCI-5045,oracle,Analytics,IL4,True
Identity/Security/WAF,Cloud Guard - Global Configuration,OCI-5046,oracle,Security,IL5,True
Identity/Security/WAF,WAF - Edge Policy,OCI-5047,oracle,Security,IL4,True
Identity/Security/WAF,WAF - Request fee,OCI-5048,oracle,Security,IL2,True
Identity/Security/WAF,Vault - Key Version,OCI-5049,oracle,Security,IL2,True
Identity/Security/WAF,Vault - Secret Version,OCI-5050,oracle,Security,IL2|IL4,True
PaaS/Containers/Functions,OKE (Kubernetes) - Cluster Management Fee,OCI-5051,oracle,Developer Services,IL2|IL4,True
PaaS/Containers/Functions,OKE (Kubernetes) - Worker Node OCPU,OCI-5052,oracle,Developer Services,IL2|IL4,False
PaaS/Containers/Functions,Functions - Invocations,OCI-5053,oracle,Developer Services,IL2,False
PaaS/Containers/Functions,Functions - Execution Duration (GB-Sec),OCI-5054,oracle,Developer Services,IL5,True
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - OCPU,OCI-5055,oracle,Compute,IL2,False
Compute (VM/GPU/Bare Metal),Compute Instance - VM.Standard.E3.Flex - Memory (GB),OCI-5056,oracle,Compute,IL5,False
