title,csoShortName,description,catalogitemNumber,commercialUnitPrice,commercialunitofissue,customerunitprice,customerunitofissue,discountpremiumfee
GCP Compute Engine - n2-standard-2 Offer,Compute Engine - n2-standard-2,Official GCP Compute offering for n2-standard-2.,GCP-1000,1.0624,vCPU/Hour,1.0305,vCPU/Hour,-3%
GCP Compute Engine - n2-standard-4 Offer,Compute Engine - n2-standard-4,Official GCP Compute offering for n2-standard-4.,GCP-1001,1.6424,vCPU/Hour,1.6588,vCPU/Hour,1%
GCP Compute Engine - e2-micro Offer,Compute Engine - e2-micro,Official GCP Compute offering for e2-micro.,GCP-1002,0.9415,vCPU/Hour,0.885,vCPU/Hour,-6%
GCP Compute Engine - e2-small Offer,Compute Engine - e2-small,Official GCP Compute offering for e2-small.,GCP-1003,2.1721,vCPU/Hour,1.7377,vCPU/Hour,-20%
GCP Compute Engine - c2-standard-4 Offer,Compute Engine - c2-standard-4,Official GCP Compute offering for c2-standard-4.,GCP-1004,0.8232,vCPU/Hour,0.9467,vCPU/Hour,15%
GCP Compute Engine - a2-highgpu-1g Offer,Compute Engine - a2-highgpu-1g,Official GCP Compute offering for a2-highgpu-1g.,GCP-1005,1.8477,vCPU/Hour,1.5336,vCPU/Hour,-17%
GCP Cloud Storage - Standard Offer,Cloud Storage - Standard,Official GCP Storage offering for Standard.,GCP-1006,0.0073,GB Per Month,0.0074,GB Per Month,2%
GCP Cloud Storage - Nearline Offer,Cloud Storage - Nearline,Official GCP Storage offering for Nearline.,GCP-1007,0.0084,GB Per Month,0.0067,GB Per Month,-20%
GCP Cloud Storage - Coldline Offer,Cloud Storage - Coldline,Official GCP Storage offering for Coldline.,GCP-1008,0.0065,GB Per Month,0.0072,GB Per Month,10%
GCP Cloud Storage - Archive Offer,Cloud Storage - Archive,Official GCP Storage offering for Archive.,GCP-1009,0.0071,GB Per Month,0.0066,GB Per Month,-7%
GCP Cloud SQL - db-f1-micro Offer,Cloud SQL - db-f1-micro,Official GCP Database offering for db-f1-micro.,GCP-1010,0.0774,Instance/Hour,0.0635,Instance/Hour,-18%
GCP Cloud SQL - db-g1-small Offer,Cloud SQL - db-g1-small,Official GCP Database offering for db-g1-small.,GCP-1011,0.4887,Instance/Hour,0.4301,Instance/Hour,-12%
GCP Cloud SQL - db-n1-standard-1 Offer,Cloud SQL - db-n1-standard-1,Official GCP Database offering for db-n1-standard-1.,GCP-1012,0.4243,Instance/Hour,0.471,Instance/Hour,11%
GCP Cloud SQL - High Availability Offer,Cloud SQL - High Availability,Official GCP Database offering for High Availability.,GCP-1013,0.4564,Instance/Hour,0.4245,Instance/Hour,-7%
GCP Spanner - Node Offer,Spanner - Node,Official GCP Database offering for Node.,GCP-1014,0.3774,Node/Hour,0.2944,Node/Hour,-22%
GCP Spanner - Processing Unit Offer,Spanner - Processing Unit,Official GCP Database offering for Processing Unit.,GCP-1015,0.6024,Node/Hour,0.494,Node/Hour,-18%
GCP Spanner - Storage Offer,Spanner - Storage,Official GCP Database offering for Storage.,GCP-1016,0.8443,Node/Hour,0.7177,Node/Hour,-15%
GCP Cloud Interconnect - 10Gbps Dedicated Offer,Cloud Interconnect - 10Gbps Dedicated,Official GCP Networking offering for 10Gbps Dedicated.,GCP-1017,3.0557,Link/Hour,3.4835,Link/Hour,14%
GCP Cloud Interconnect - 100Gbps Dedicated Offer,Cloud Interconnect - 100Gbps Dedicated,Official GCP Networking offering for 100Gbps Dedicated.,GCP-1018,4.048,Link/Hour,3.6027,Link/Hour,-11%
GCP Cloud Interconnect - VLAN Attachment Offer,Cloud Interconnect - VLAN Attachment,Official GCP Networking offering for VLAN Attachment.,GCP-1019,3.8787,Link/Hour,3.7623,Link/Hour,-3%
GCP Vertex AI - AutoML Training Offer,Vertex AI - AutoML Training,Official GCP AI/ML offering for AutoML Training.,GCP-1020,6.6399,Node/Hour / 1M Tokens,7.2375,Node/Hour / 1M Tokens,9%
GCP Vertex AI - Prediction Offer,Vertex AI - Prediction,Official GCP AI/ML offering for Prediction.,GCP-1021,1.7072,Node/Hour / 1M Tokens,1.895,Node/Hour / 1M Tokens,11%
GCP Vertex AI - Custom Training Offer,Vertex AI - Custom Training,Official GCP AI/ML offering for Custom Training.,GCP-1022,0.4312,Node/Hour / 1M Tokens,0.3838,Node/Hour / 1M Tokens,-11%
