csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Compute (VM/GPU/Serverless),Virtual Machines - D2s v3,AZURE-1000,azure,Compute,IL4,True
Compute (VM/GPU/Serverless),Virtual Machines - D4s v3,AZURE-1001,azure,Compute,IL6,False
Compute (VM/GPU/Serverless),Virtual Machines - E2s v3,AZURE-1002,azure,Compute,IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - F2s v2,AZURE-1003,azure,Compute,IL5,False
Compute (VM/GPU/Serverless),Virtual Machines - B1s,AZURE-1004,azure,Compute,IL5|IL6,False
Compute (VM/GPU/Serverless),Virtual Machines - B2s,AZURE-1005,azure,Compute,IL2,True
Compute (VM/GPU/Serverless),Virtual Machines - NC6,AZURE-1006,azure,Compute,IL4|IL5,True
Compute (VM/GPU/Serverless),Virtual Machines - ND96asr_v4,AZURE-1007,azure,Compute,IL4|IL5,False
Object/Block/File Storage,Blob Storage - Hot LRS,AZURE-1008,azure,Storage,IL2,True
Object/Block/File Storage,Blob Storage - Cool LRS,AZURE-1009,azure,Storage,IL2|IL4|IL5|IL6,False
Object/Block/File Storage,Blob Storage - Archive LRS,AZURE-1010,azure,Storage,IL2|IL4|IL5|IL6,False
Object/Block/File Storage,Blob Storage - Premium ZRS,AZURE-1011,azure,Storage,IL2|IL4|IL5|IL6,True
Object/Block/File Storage,Blob Storage - Hot GRS,AZURE-1012,azure,Storage,IL5,False
Managed SQL/NoSQL DB,Azure SQL - Basic DTU,AZURE-1013,azure,Database,IL2|IL4,True
Managed SQL/NoSQL DB,Azure SQL - Standard DTU,AZURE-1014,azure,Database,IL2,False
Managed SQL/NoSQL DB,Azure SQL - Premium DTU,AZURE-1015,azure,Database,IL6,True
Managed SQL/NoSQL DB,Azure SQL - vCore General Purpose,AZURE-1016,azure,Database,IL2,True
Managed SQL/NoSQL DB,Azure SQL - vCore Business Critical,AZURE-1017,azure,Database,IL5,True
Managed SQL/NoSQL DB,Cosmos DB - Provisioned RU/s,AZURE-1018,azure,Database,IL6,True
Managed SQL/NoSQL DB,Cosmos DB - Autoscale RU/s,AZURE-1019,azure,Database,IL4,True
Managed SQL/NoSQL DB,Cosmos DB - Multi-region writes,AZURE-1020,azure,Database,IL2|IL4,False
Connectivity/CDN,VPN Gateway - Basic,AZURE-1021,azure,Networking,IL4|IL5,True
Connectivity/CDN,VPN Gateway - VpnGw1,AZURE-1022,azure,Networking,IL5|IL6,False
Connectivity/CDN,VPN Gateway - VpnGw2,AZURE-1023,azure,Networking,IL4,False
Connectivity/CDN,VPN Gateway - VpnGw3,AZURE-1024,azure,Networking,IL2|IL4|IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw4,AZURE-1025,azure,Networking,IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw5,AZURE-1026,azure,Networking,IL4|IL5,False
GenAI/ML Services,Azure OpenAI - GPT-3.5-Turbo,AZURE-1027,azure,AI/ML,IL6,True
GenAI/ML Services,Azure OpenAI - GPT-4,AZURE-1028,azure,AI/ML,IL4,True
GenAI/ML Services,Azure OpenAI - GPT-4-32k,AZURE-1029,azure,AI/ML,IL2|IL4|IL5|IL6,False
GenAI/ML Services,Azure OpenAI - DALL-E 3,AZURE-1030,azure,AI/ML,IL6,False
GenAI/ML Services,Azure OpenAI - Whisper,AZURE-1031,azure,AI/ML,IL4,False
PaaS/Containers,App Service - F1 Free,AZURE-1032,azure,App Hosting,IL5,False
PaaS/Containers,App Service - B1 Basic,AZURE-1033,azure,App Hosting,IL2|IL4|IL5|IL6,False
PaaS/Containers,App Service - S1 Standard,AZURE-1034,azure,App Hosting,IL5|IL6,True
PaaS/Containers,App Service - P1v2 Premium,AZURE-1035,azure,App Hosting,IL4|IL5,False
PaaS/Containers,App Service - P1v3 Premium,AZURE-1036,azure,App Hosting,IL5|IL6,False
Data Warehouse/BI,Synapse - Data Integration,AZURE-1037,azure,Analytics,IL5|IL6,False
Data Warehouse/BI,Synapse - SQL Pool,AZURE-1038,azure,Analytics,IL5,True
Data Warehouse/BI,Synapse - Spark Pool,AZURE-1039,azure,Analytics,IL2|IL4|IL5|IL6,True
Identity/Encryption,Sentinel - Data Ingestion,AZURE-1040,azure,Security,IL2|IL4,False
Identity/Encryption,Sentinel - Retention,AZURE-1041,azure,Security,IL4|IL5,False
Compute (VM/GPU/Serverless),Functions - Consumption Plan,AZURE-1042,azure,Compute,IL2|IL4,False
Compute (VM/GPU/Serverless),Functions - Premium Plan,AZURE-1043,azure,Compute,IL4|IL5,False
Compute (VM/GPU/Serverless),Virtual Machines - D2s v3,AZURE-1044,azure,Compute,IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - D4s v3,AZURE-1045,azure,Compute,IL2|IL4|IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - E2s v3,AZURE-1046,azure,Compute,IL5|IL6,True
Compute (VM/GPU/Serverless),Virtual Machines - F2s v2,AZURE-1047,azure,Compute,IL2|IL4|IL5|IL6,False
Compute (VM/GPU/Serverless),Virtual Machines - B1s,AZURE-1048,azure,Compute,IL2|IL4|IL5|IL6,False
Compute (VM/GPU/Serverless),Virtual Machines - B2s,AZURE-1049,azure,Compute,IL4,False
Compute (VM/GPU/Serverless),Virtual Machines - NC6,AZURE-1050,azure,Compute,IL2,True
Compute (VM/GPU/Serverless),Virtual Machines - ND96asr_v4,AZURE-1051,azure,Compute,IL2|IL4,True
Object/Block/File Storage,Blob Storage - Hot LRS,AZURE-1052,azure,Storage,IL2,False
Object/Block/File Storage,Blob Storage - Cool LRS,AZURE-1053,azure,Storage,IL5,False
Object/Block/File Storage,Blob Storage - Archive LRS,AZURE-1054,azure,Storage,IL5,True
Object/Block/File Storage,Blob Storage - Premium ZRS,AZURE-1055,azure,Storage,IL4,False
Object/Block/File Storage,Blob Storage - Hot GRS,AZURE-1056,azure,Storage,IL2|IL4|IL5|IL6,True
Managed SQL/NoSQL DB,Azure SQL - Basic DTU,AZURE-1057,azure,Database,IL2|IL4,True
Managed SQL/NoSQL DB,Azure SQL - Standard DTU,AZURE-1058,azure,Database,IL2,False
Managed SQL/NoSQL DB,Azure SQL - Premium DTU,AZURE-1059,azure,Database,IL4,True
Managed SQL/NoSQL DB,Azure SQL - vCore General Purpose,AZURE-1060,azure,Database,IL2,True
Managed SQL/NoSQL DB,Azure SQL - vCore Business Critical,AZURE-1061,azure,Database,IL4|IL5,False
Managed SQL/NoSQL DB,Cosmos DB - Provisioned RU/s,AZURE-1062,azure,Database,IL6,True
Managed SQL/NoSQL DB,Cosmos DB - Autoscale RU/s,AZURE-1063,azure,Database,IL2,False
Managed SQL/NoSQL DB,Cosmos DB - Multi-region writes,AZURE-1064,azure,Database,IL2,False
Connectivity/CDN,VPN Gateway - Basic,AZURE-1065,azure,Networking,IL2|IL4|IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw1,AZURE-1066,azure,Networking,IL5,True
Connectivity/CDN,VPN Gateway - VpnGw2,AZURE-1067,azure,Networking,IL2|IL4|IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw3,AZURE-1068,azure,Networking,IL2|IL4|IL5|IL6,True
Connectivity/CDN,VPN Gateway - VpnGw4,AZURE-1069,azure,Networking,IL4,False
